           0   3.69459986E+11
           1   2.42656850E+10
           2   3.71974682E+09
           3   827048768.    
           4   242442144.    
           5   83231752.0    
           6   31176384.0    
           7   12424974.0    
           8   5084940.50    
           9   2145823.75    
          10   958562.000    
          11   421427.750    
          12   185734.406    
          13   83668.8047    
          14   37995.6836    
          15   17344.8066    
          16   8026.42383    
          17   3804.66357    
          18   1788.52820    
          19   839.198303    
          20   393.351990    
          21   184.806152    
          22   87.6417923    
          23   41.5852661    
          24   19.6259632    
          25   9.33826733    
          26   4.43629169    
          27   2.11739326    
          28   1.01468110    
          29  0.487030476    
          30  0.235210568    
          31  0.113589004    
          32   5.54441139E-02
          33   2.71482561E-02
          34   1.31286513E-02
          35   6.37912191E-03
          36   3.10951029E-03
          37   1.51044095E-03
          38   7.31661625E-04
          39   3.52250034E-04
          40   1.70204366E-04
          41   8.29394558E-05
          42   4.03657141E-05
          43   1.97421014E-05
          44   9.66056359E-06
          45   4.72873626E-06
          46   2.39607311E-06
          47   1.38531277E-06
          48   1.14547925E-06
          49   1.52581629E-06
          50   2.74447302E-06
          51   5.47994887E-06
          52   1.12557509E-05
          53   2.32799848E-05
          54   4.84194352E-05
          55   1.00847108E-04
          56   2.09139500E-04
          57   4.32624714E-04
          58   8.94722063E-04
          59   1.84189365E-03
          60   3.79661843E-03
          61   7.85205327E-03
          62   1.62659828E-02
          63   3.35938074E-02
          64   6.88262880E-02
          65  0.140893430    
          66  0.290872812    
          67  0.602828562    
          68   1.24960220    
          69   2.60921812    
          70   5.43299961    
          71   11.2823114    
          72   23.5550098    
          73   49.5421829    
          74   103.967880    
          75   220.911026    
          76   464.082916    
          77   975.614563    
          78   2069.89233    
          79   4422.90234    
          80   9399.81152    
          81   20286.6738    
          82   43359.0898    
          83   93745.3906    
          84   203776.953    
          85   447426.531    
          86   997504.375    
          87   2246715.50    
          88   5388876.50    
          89   13080818.0    
          90   33264060.0    
          91   87590672.0    
          92   260803808.    
          93   870935296.    
          94   3.72585139E+09
          95   2.32676946E+10
           0   3.80998844E+11
           1   2.56047514E+10
           2   4.06600397E+09
           3   898890688.    
           4   254302400.    
           5   86134600.0    
           6   32462436.0    
           7   12877488.0    
           8   5251860.00    
           9   2232235.75    
          10   972017.000    
          11   427225.375    
          12   194957.688    
          13   88585.3984    
          14   40163.7695    
          15   18330.5410    
          16   8325.93359    
          17   3814.70435    
          18   1796.19348    
          19   845.209961    
          20   400.647675    
          21   190.274582    
          22   91.1715851    
          23   43.3917618    
          24   20.7549839    
          25   9.91989517    
          26   4.74190187    
          27   2.27593684    
          28   1.09373033    
          29  0.525936604    
          30  0.255340576    
          31  0.124055907    
          32   5.99764772E-02
          33   2.92422809E-02
          34   1.41506316E-02
          35   6.83937874E-03
          36   3.30009637E-03
          37   1.59525452E-03
          38   7.76452303E-04
          39   3.75227624E-04
          40   1.81244497E-04
          41   8.80064690E-05
          42   4.28051608E-05
          43   2.08841448E-05
          44   1.02434042E-05
          45   5.02393095E-06
          46   2.53678741E-06
          47   1.43688476E-06
          48   1.11004465E-06
          49   1.38890289E-06
          50   2.41914108E-06
          51   4.76373452E-06
          52   9.74506747E-06
          53   2.00872946E-05
          54   4.17307674E-05
          55   8.62590750E-05
          56   1.77632523E-04
          57   3.70081543E-04
          58   7.71272171E-04
          59   1.60969724E-03
          60   3.35171679E-03
          61   6.97262958E-03
          62   1.45349046E-02
          63   3.02932858E-02
          64   6.29556626E-02
          65  0.131108597    
          66  0.271500677    
          67  0.564096630    
          68   1.16908991    
          69   2.44576836    
          70   5.13909149    
          71   10.8208370    
          72   22.6193218    
          73   46.7614021    
          74   97.1082764    
          75   204.583755    
          76   436.176086    
          77   943.000427    
          78   2015.42981    
          79   4346.24365    
          80   9498.61328    
          81   20403.6895    
          82   43459.6250    
          83   95396.5469    
          84   213093.938    
          85   470798.156    
          86   1044007.38    
          87   2387368.00    
          88   5571841.50    
          89   13519789.0    
          90   33368026.0    
          91   89423552.0    
          92   267796384.    
          93   935838720.    
          94   4.12167347E+09
          95   2.51001549E+10
           0   3.71873939E+11
           1   2.56447529E+10
           2   4.19872410E+09
           3   953029504.    
           4   274735488.    
           5   90713592.0    
           6   32928692.0    
           7   12648000.0    
           8   5155371.00    
           9   2153941.25    
          10   915922.375    
          11   395298.406    
          12   174724.000    
          13   78352.2656    
          14   35879.4453    
          15   16676.7773    
