0.000000 2.000000
0.133333 1.531857
0.266667 1.173292
0.400000 0.898658
0.533333 0.688308
0.666667 0.527194
0.800000 0.403793
0.933333 0.309277
1.066667 0.236884
1.200000 0.181436
1.333333 0.138967
1.466667 0.106439
1.600000 0.081524
1.733333 0.062442
1.866667 0.047826
2.000000 0.036631
2.133333 0.028057
2.266667 0.021490
2.400000 0.016459
2.533333 0.012607
2.666667 0.009656
2.800000 0.007396
2.933333 0.005665
3.066667 0.004339
3.200000 0.003323
3.333333 0.002545
3.466667 0.001949
3.600000 0.001493
3.733333 0.001144
3.866667 0.000876
